project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",0,1,0,first5,0.05733289756195824,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,61.05157085102676,38.94842914897324,-52.485877702027715,-3.265479962875499,40.04769299948142,-0.6904039675276744,-0.5828301928156777,0.4285455961324137,0.00042924094336970435,,30.922169772105676,True,31.105398814867154,True,55.53854773602307,False,29.604897997787216,True,92.2721354066704,False,98.92003482294473,False,82.18800574345681,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,29.604897997787216,2.8,0.014565630536754706,0.8163811492396962,0.11708551507332818,0.625,0.4264909043527561,0.053915704399911016,1.3266193675145064,0.1902639619941583,0.6105157085102676,0.8568251336164283,8.001314882224976
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",1,2,1,first5,0.07189852809871294,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,55.3744104566775,44.6255895433225,59.255588110550164,-8.540922188505132,49.34430840540578,-0.7897669500297898,0.09738417521144499,-0.6056273499925763,0.000249760335502334,,96.73111383454132,False,103.53858624676492,False,59.93831833540161,False,87.51073353557467,False,28.707206338335453,True,27.664056813966205,True,31.960954546958295,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_S1,27.664056813966205,2.558,0.03655305990438448,0.12624506035883465,0.7212535032195324,0.5714285714285714,0.058389101915705816,0.37714833306534723,0.1983850948495973,1.1333983622021224,0.553744104566775,0.7659905673068401,6.236114400314544
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",2,3,2,first5,0.10845158800309743,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,29.69969114126289,70.30030885873711,-17.30004081505831,-1.0394337609443278,83.08707043499273,0.6164766515758129,0.7861487430493864,-0.04389409827919331,0.00010417414692407442,,40.13210012305368,False,49.14476908944344,False,30.87490457677608,True,29.944081112599807,True,64.04522884380383,False,72.94940154507445,False,53.23769871965248,False,SMA;left_PMd,2,0.7;0.6,SMA,0.7,left_PMd,29.944081112599807,2.107,0.039759272834347936,0.7454756189387036,0.9597897138469687,0.4642857142857143,0.20142976803927784,0.2632307487718548,1.0915892991602447,1.40540636670449,0.2969969114126289,0.35519505826020625,7.4133914986158675
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",3,4,3,first5,0.14821086083744536,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,47.10165848694338,52.89834151305662,-20.810363335535822,-18.374519149653775,80.26854027735742,-0.7954050450343304,-0.17371313848196823,-0.5806501182749207,0.00011520899919693662,,29.177613747353735,True,37.19224215325489,False,32.895103471891545,True,27.35477234683666,True,62.03245492729531,False,69.85273020259386,False,55.489136447842405,False,left_M1;SMA;left_PMd,3,1;0.7;0.6,left_M1,1.0,left_PMd,27.35477234683666,1.749,0.06213399260052482,0.2936839330620642,0.2982330647559084,0.4464285714285714,0.21173591335358571,0.21743147797419912,0.4247928317504857,0.4313728258076532,0.47101658486943376,0.6336265357910942,2.598242608342124
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",4,5,4,first5,0.2103448534379702,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,41.98272931047512,58.01727068952488,1.3179143146414605,-26.78626086089302,80.5556032524274,-0.947764234973347,-0.28560156788282903,0.14203766869480727,6.819309383773094e-05,,44.758994955991696,False,51.98261533373336,False,30.701152694951755,True,42.60799629159769,False,42.58624153599516,False,49.80745618956186,False,40.83913496567917,False,SMA,1,0.7,SMA,0.7,SMA,30.701152694951755,1.323,0.06213399260052482,0.08448524447268899,0.04822598492639672,0.5178571428571428,0.20613185967386935,0.0814307624201861,0.12823653178890293,0.07320015569185216,0.4198272931047512,0.5517236689676019,0.43923011406937956
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",51,52,5,last5,0.6398876777990244,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,28.965330146254765,71.03466985374524,41.27109563053638,-49.583051500272276,55.36376288566842,0.840679991789099,0.5255856033250352,0.13044893630436055,5.289034645269838e-05,,81.39852296985944,False,85.60891410550218,False,60.08107404785008,False,80.79628493683893,False,26.128179631912673,True,19.883211722283193,True,43.65405993690382,False,right_M1;right_S1,2,1;0.8,right_M1,1.0,right_S1,19.883211722283193,0.575,0.033589597530563675,0.014506425399770624,0.14501322008467923,0.6607142857142857,0.027819585520222623,0.25778440793842633,0.024091027896047643,0.24082552621205658,0.28965330146254764,0.3434452823400762,0.21151689102285307
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",52,53,6,last5,0.6613329129679654,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,35.683799561943495,64.31620043805651,-5.568145497434822,-70.42782337267366,45.57722813801766,-0.6288820564495345,0.7717750161828426,0.09418430586768399,9.983666146486453e-05,,56.48251698425283,False,54.7990960102377,False,65.85039050420201,False,67.14950037610797,False,63.18296982974941,False,62.75658823668077,False,71.64277839722315,False,,0,,,0.0,left_S1,54.7990960102377,0.669,0.05517789194745615,0.03321113091137097,0.14980210159114646,0.625,0.027594558162351894,0.1754231389866432,0.053968087730977825,0.243428415085613,0.35683799561943497,0.450940792991096,0.3046052254318387
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",53,54,7,last5,0.7165108049154215,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,27.00286024930453,72.99713975069547,37.492499371828735,-24.484678020697842,53.49102628229884,-0.7220699072482908,0.5300691912324396,-0.4445691189822254,0.0001594787473649985,,73.53691131546191,False,79.69754947481177,False,42.04404446128331,False,67.58185431409218,False,2.95929320527249,True,7.277327656691274,True,19.187159844186493,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_M1,2.95929320527249,0.927,0.056981483906166086,0.1564877909196385,0.3785007591832549,0.4821428571428571,0.11662755209301358,0.3199915553635841,0.23193726154160707,0.5609921966466099,0.2700286024930453,0.31204576398887246,1.0193671869346514
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",54,55,8,last5,0.7734922888215876,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,38.795257604813685,61.204742395186315,-4.361561996109513,-83.17108806148201,17.31927397608748,0.8257699345148679,0.5594676396146538,-0.0714141125781076,0.000174741931560436,,77.44938338968662,False,73.80087654330582,False,87.34598746062439,False,87.78192750986868,False,81.40314437957808,False,78.6085987275353,False,90.52160924835631,False,,0,,,0.0,left_S1,73.80087654330582,1.228,0.12399566212119872,0.37364653863947306,0.32120534002771417,0.5714285714285714,0.23097614204499858,0.17813924377193913,0.5871588464334576,0.5047512486149794,0.3879525760481368,0.500724121677019,2.2617820147137886
pr_AstroSync,exp,19VB,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",55,56,9,last5,0.8974879509427863,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\19VB\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\19VB\EPOCHS_im_rec_calib.hdf,32.765002768191565,67.23499723180844,20.912865911949858,-64.49895018252764,34.803002227217505,-0.8687993854026969,0.14451648568079545,-0.47360596838550173,0.00017803973156621042,,72.99693135178893,False,73.78308067130696,False,66.31422048685727,False,77.67826296994205,False,48.13625759712741,False,43.938383221746065,False,60.75912734634269,False,,0,,,0.0,right_S1,43.938383221746065,2.17,0.12399566212119872,0.7651023467273803,1.292155105181441,0.5535714285714286,0.15585678262064487,0.26168535776692003,1.1886411458086088,2.007455252692596,0.32765002768191565,0.4042400442910651,10.946759890716063
